# start_node_id,start_x,start_y,end_node_id,end_x,end_y,weight
N00_16,160,0,N01_16,160,10,2.0
N00_16,160,0,N01_17,170,10,2.8
N00_17,170,0,N00_18,180,0,2.0
N00_17,170,0,N01_17,170,10,2.0
N00_17,170,0,N01_18,180,10,2.8
N00_18,180,0,N00_19,190,0,2.0
N00_18,180,0,N01_18,180,10,2.0
N00_18,180,0,N01_19,190,10,2.8
N00_19,190,0,N01_19,190,10,2.0
N01_00,0,10,N01_01,10,10,2.0
N01_00,0,10,N02_00,0,20,2.0
N01_00,0,10,N02_01,10,20,2.8
N01_01,10,10,N01_02,20,10,2.0
N01_01,10,10,N02_01,10,20,2.0
N01_01,10,10,N02_02,20,20,2.8
N01_02,20,10,N01_03,30,10,2.0
N01_02,20,10,N02_02,20,20,2.0
N01_02,20,10,N02_03,30,20,2.8
N01_03,30,10,N01_04,40,10,2.0
N01_03,30,10,N02_03,30,20,2.0
N01_03,30,10,N02_04,40,20,2.8
N01_04,40,10,N01_05,50,10,2.0
N01_04,40,10,N02_04,40,20,2.0
N01_04,40,10,N02_05,50,20,2.8
N01_05,50,10,N01_06,60,10,2.0
N01_05,50,10,N02_05,50,20,2.0
N01_05,50,10,N02_06,60,20,2.8
N01_06,60,10,N01_07,70,10,2.0
N01_06,60,10,N02_06,60,20,2.0
N01_06,60,10,N02_07,70,20,2.8
N01_07,70,10,N01_08,80,10,2.0
N01_07,70,10,N02_07,70,20,2.0
N01_07,70,10,N02_08,80,20,2.8
N01_08,80,10,N01_09,90,10,2.0
N01_08,80,10,N02_08,80,20,2.0
N01_08,80,10,N02_09,90,20,2.8
N01_09,90,10,N01_10,100,10,2.0
N01_09,90,10,N02_09,90,20,2.0
N01_09,90,10,N02_10,100,20,2.8
N01_10,100,10,N01_11,110,10,2.0
N01_10,100,10,N02_10,100,20,2.0
N01_10,100,10,N02_11,110,20,2.8
N01_11,110,10,N01_12,120,10,2.0
N01_11,110,10,N02_11,110,20,2.0
N01_11,110,10,N02_12,120,20,2.8
N01_12,120,10,N01_13,130,10,2.0
N01_12,120,10,N02_12,120,20,2.0
N01_12,120,10,N02_13,130,20,2.8
N01_13,130,10,N01_14,140,10,2.0
N01_13,130,10,N02_13,130,20,2.0
N01_13,130,10,N02_14,140,20,2.8
N01_14,140,10,N01_15,150,10,2.0
N01_14,140,10,N02_14,140,20,2.0
N01_14,140,10,N02_15,150,20,2.8
N01_15,150,10,N01_16,160,10,2.0
N01_15,150,10,N02_15,150,20,2.0
N01_15,150,10,N02_16,160,20,2.8
N01_16,160,10,N01_17,170,10,2.0
N01_16,160,10,N02_16,160,20,2.0
N01_16,160,10,N02_17,170,20,2.8
N01_17,170,10,N01_18,180,10,2.0
N01_17,170,10,N02_17,170,20,2.0
N01_17,170,10,N02_18,180,20,2.8
N01_18,180,10,N01_19,190,10,2.0
N01_18,180,10,N02_18,180,20,2.0
N01_18,180,10,N02_19,190,20,2.8
N01_19,190,10,N02_19,190,20,2.0
N02_00,0,20,N02_01,10,20,2.0
N02_00,0,20,N03_00,0,30,2.0
N02_00,0,20,N03_01,10,30,2.8
N02_01,10,20,N02_02,20,20,2.0
N02_01,10,20,N03_01,10,30,2.0
N02_01,10,20,N03_02,20,30,2.8
N02_02,20,20,N02_03,30,20,2.0
N02_02,20,20,N03_02,20,30,2.0
N02_02,20,20,N03_03,30,30,2.8
N02_03,30,20,N02_04,40,20,2.0
N02_03,30,20,N03_03,30,30,2.0
N02_03,30,20,N03_04,40,30,2.8
N02_04,40,20,N02_05,50,20,2.0
N02_04,40,20,N03_04,40,30,2.0
N02_04,40,20,N03_05,50,30,2.8
N02_05,50,20,N02_06,60,20,2.0
N02_05,50,20,N03_05,50,30,2.0
N02_05,50,20,N03_06,60,30,2.8
N02_06,60,20,N02_07,70,20,2.0
N02_06,60,20,N03_06,60,30,2.0
N02_06,60,20,N03_07,70,30,2.8
N02_07,70,20,N02_08,80,20,2.0
N02_07,70,20,N03_07,70,30,2.0
N02_07,70,20,N03_08,80,30,2.8
N02_08,80,20,N02_09,90,20,2.0
N02_08,80,20,N03_08,80,30,2.0
N02_08,80,20,N03_09,90,30,2.8
N02_09,90,20,N02_10,100,20,2.0
N02_09,90,20,N03_09,90,30,2.0
N02_09,90,20,N03_10,100,30,2.8
N02_10,100,20,N02_11,110,20,2.0
N02_10,100,20,N03_10,100,30,2.0
N02_10,100,20,N03_11,110,30,2.8
N02_11,110,20,N02_12,120,20,2.0
N02_11,110,20,N03_11,110,30,2.0
N02_11,110,20,N03_12,120,30,2.8
N02_12,120,20,N02_13,130,20,2.0
N02_12,120,20,N03_12,120,30,2.0
N02_12,120,20,N03_13,130,30,2.8
N02_13,130,20,N02_14,140,20,2.0
N02_13,130,20,N03_13,130,30,2.0
N02_13,130,20,N03_14,140,30,2.8
N02_14,140,20,N02_15,150,20,2.0
N02_14,140,20,N03_14,140,30,2.0
N02_14,140,20,N03_15,150,30,2.8
N02_15,150,20,N02_16,160,20,2.0
N02_15,150,20,N03_15,150,30,2.0
N02_15,150,20,N03_16,160,30,2.8
N02_16,160,20,N02_17,170,20,2.0
N02_16,160,20,N03_16,160,30,2.0
N02_16,160,20,N03_17,170,30,2.8
N02_17,170,20,N02_18,180,20,2.0
N02_17,170,20,N03_17,170,30,2.0
N02_17,170,20,N03_18,180,30,2.8
N02_18,180,20,N02_19,190,20,2.0
N02_18,180,20,N03_18,180,30,2.0
N02_18,180,20,N03_19,190,30,2.8
N02_19,190,20,N03_19,190,30,2.0
N03_00,0,30,N03_01,10,30,2.0
N03_00,0,30,N04_00,0,40,2.0
N03_00,0,30,N04_01,10,40,2.8
N03_01,10,30,N03_02,20,30,2.0
N03_01,10,30,N04_01,10,40,2.0
N03_01,10,30,N04_02,20,40,2.8
N03_02,20,30,N03_03,30,30,2.0
N03_02,20,30,N04_02,20,40,2.0
N03_02,20,30,N04_03,30,40,2.8
N03_03,30,30,N03_04,40,30,2.0
N03_03,30,30,N04_03,30,40,2.0
N03_03,30,30,N04_04,40,40,2.8
N03_04,40,30,N03_05,50,30,2.0
N03_04,40,30,N04_04,40,40,2.0
N03_04,40,30,N04_05,50,40,2.8
N03_05,50,30,N03_06,60,30,2.0
N03_05,50,30,N04_05,50,40,2.0
N03_05,50,30,N04_06,60,40,2.8
N03_06,60,30,N03_07,70,30,2.0
N03_06,60,30,N04_06,60,40,2.0
N03_06,60,30,N04_07,70,40,2.8
N03_07,70,30,N03_08,80,30,2.0
N03_07,70,30,N04_07,70,40,2.0
N03_07,70,30,N04_08,80,40,2.8
N03_08,80,30,N03_09,90,30,2.0
N03_08,80,30,N04_08,80,40,2.0
N03_08,80,30,N04_09,90,40,2.8
N03_09,90,30,N03_10,100,30,2.0
N03_09,90,30,N04_09,90,40,2.0
N03_09,90,30,N04_10,100,40,2.8
N03_10,100,30,N03_11,110,30,2.0
N03_10,100,30,N04_10,100,40,2.0
N03_10,100,30,N04_11,110,40,2.8
N03_11,110,30,N03_12,120,30,2.0
N03_11,110,30,N04_11,110,40,2.0
N03_11,110,30,N04_12,120,40,2.8
N03_12,120,30,N03_13,130,30,2.0
N03_12,120,30,N04_12,120,40,2.0
N03_12,120,30,N04_13,130,40,2.8
N03_13,130,30,N03_14,140,30,2.0
N03_13,130,30,N04_13,130,40,2.0
N03_13,130,30,N04_14,140,40,2.8
N03_14,140,30,N03_15,150,30,2.0
N03_14,140,30,N04_14,140,40,2.0
N03_14,140,30,N04_15,150,40,2.8
N03_15,150,30,N03_16,160,30,2.0
N03_15,150,30,N04_15,150,40,2.0
N03_15,150,30,N04_16,160,40,2.8
N03_16,160,30,N03_17,170,30,2.0
N03_16,160,30,N04_16,160,40,2.0
N03_16,160,30,N04_17,170,40,2.8
N03_17,170,30,N03_18,180,30,2.0
N03_17,170,30,N04_17,170,40,2.0
N03_17,170,30,N04_18,180,40,2.8
N03_18,180,30,N03_19,190,30,2.0
N03_18,180,30,N04_18,180,40,2.0
N03_18,180,30,N04_19,190,40,2.8
N03_19,190,30,N04_19,190,40,2.0
N04_00,0,40,N04_01,10,40,2.0
N04_00,0,40,N05_00,0,50,2.0
N04_00,0,40,N05_01,10,50,2.8
N04_01,10,40,N04_02,20,40,2.0
N04_01,10,40,N05_01,10,50,2.0
N04_01,10,40,N05_02,20,50,2.8
N04_02,20,40,N04_03,30,40,2.0
N04_02,20,40,N05_02,20,50,2.0
N04_02,20,40,N05_03,30,50,2.8
N04_03,30,40,N04_04,40,40,2.0
N04_03,30,40,N05_03,30,50,2.0
N04_03,30,40,N05_04,40,50,2.8
N04_04,40,40,N04_05,50,40,2.0
N04_04,40,40,N05_04,40,50,2.0
N04_04,40,40,N05_05,50,50,2.8
N04_05,50,40,N04_06,60,40,2.0
N04_05,50,40,N05_05,50,50,2.0
N04_05,50,40,N05_06,60,50,2.8
N04_06,60,40,N04_07,70,40,2.0
N04_06,60,40,N05_06,60,50,2.0
N04_06,60,40,N05_07,70,50,2.8
N04_07,70,40,N04_08,80,40,2.0
N04_07,70,40,N05_07,70,50,2.0
N04_07,70,40,N05_08,80,50,2.8
N04_08,80,40,N04_09,90,40,2.0
N04_08,80,40,N05_08,80,50,2.0
N04_08,80,40,N05_09,90,50,2.8
N04_09,90,40,N04_10,100,40,2.0
N04_09,90,40,N05_09,90,50,2.0
N04_09,90,40,N05_10,100,50,2.8
N04_10,100,40,N04_11,110,40,2.0
N04_10,100,40,N05_10,100,50,2.0
N04_10,100,40,N05_11,110,50,2.8
N04_11,110,40,N04_12,120,40,2.0
N04_11,110,40,N05_11,110,50,2.0
N04_11,110,40,N05_12,120,50,2.8
N04_12,120,40,N04_13,130,40,2.0
N04_12,120,40,N05_12,120,50,2.0
N04_12,120,40,N05_13,130,50,2.8
N04_13,130,40,N04_14,140,40,2.0
N04_13,130,40,N05_13,130,50,2.0
N04_13,130,40,N05_14,140,50,2.8
N04_14,140,40,N04_15,150,40,2.0
N04_14,140,40,N05_14,140,50,2.0
N04_14,140,40,N05_15,150,50,2.8
N04_15,150,40,N04_16,160,40,2.0
N04_15,150,40,N05_15,150,50,2.0
N04_15,150,40,N05_16,160,50,2.8
N04_16,160,40,N04_17,170,40,2.0
N04_16,160,40,N05_16,160,50,2.0
N04_16,160,40,N05_17,170,50,2.8
N04_17,170,40,N04_18,180,40,2.0
N04_17,170,40,N05_17,170,50,2.0
N04_17,170,40,N05_18,180,50,2.8
N04_18,180,40,N04_19,190,40,2.0
N04_18,180,40,N05_18,180,50,2.0
N04_18,180,40,N05_19,190,50,2.8
N04_19,190,40,N05_19,190,50,2.0
N05_00,0,50,N05_01,10,50,2.0
N05_00,0,50,N06_00,0,60,2.0
N05_00,0,50,N06_01,10,60,2.8
N05_01,10,50,N05_02,20,50,2.0
N05_01,10,50,N06_01,10,60,2.0
N05_01,10,50,N06_02,20,60,2.8
N05_02,20,50,N05_03,30,50,2.0
N05_02,20,50,N06_02,20,60,2.0
N05_02,20,50,N06_03,30,60,2.8
N05_03,30,50,N05_04,40,50,2.0
N05_03,30,50,N06_03,30,60,2.0
N05_03,30,50,N06_04,40,60,2.8
N05_04,40,50,N05_05,50,50,2.0
N05_04,40,50,N06_04,40,60,2.0
N05_04,40,50,N06_05,50,60,2.8
N05_05,50,50,N05_06,60,50,2.0
N05_05,50,50,N06_05,50,60,2.0
N05_05,50,50,N06_06,60,60,2.8
N05_06,60,50,N05_07,70,50,2.0
N05_06,60,50,N06_06,60,60,2.0
N05_06,60,50,N06_07,70,60,2.8
N05_07,70,50,N05_08,80,50,2.0
N05_07,70,50,N06_07,70,60,2.0
N05_07,70,50,N06_08,80,60,2.8
N05_08,80,50,N05_09,90,50,2.0
N05_08,80,50,N06_08,80,60,2.0
N05_08,80,50,N06_09,90,60,2.8
N05_09,90,50,N05_10,100,50,2.0
N05_09,90,50,N06_09,90,60,2.0
N05_09,90,50,N06_10,100,60,2.8
N05_10,100,50,N05_11,110,50,2.0
N05_10,100,50,N06_10,100,60,2.0
N05_10,100,50,N06_11,110,60,2.8
N05_11,110,50,N05_12,120,50,2.0
N05_11,110,50,N06_11,110,60,2.0
N05_11,110,50,N06_12,120,60,2.8
N05_12,120,50,N05_13,130,50,2.0
N05_12,120,50,N06_12,120,60,2.0
N05_12,120,50,N06_13,130,60,2.8
N05_13,130,50,N05_14,140,50,2.0
N05_13,130,50,N06_13,130,60,2.0
N05_13,130,50,N06_14,140,60,2.8
N05_14,140,50,N05_15,150,50,2.0
N05_14,140,50,N06_14,140,60,2.0
N05_14,140,50,N06_15,150,60,2.8
N05_15,150,50,N05_16,160,50,2.0
N05_15,150,50,N06_15,150,60,2.0
N05_15,150,50,N06_16,160,60,2.8
N05_16,160,50,N05_17,170,50,2.0
N05_16,160,50,N06_16,160,60,2.0
N05_16,160,50,N06_17,170,60,2.8
N05_17,170,50,N05_18,180,50,2.0
N05_17,170,50,N06_17,170,60,2.0
N05_17,170,50,N06_18,180,60,2.8
N05_18,180,50,N05_19,190,50,2.0
N05_18,180,50,N06_18,180,60,2.0
N05_18,180,50,N06_19,190,60,2.8
N05_19,190,50,N06_19,190,60,2.0
N06_00,0,60,N06_01,10,60,2.0
N06_00,0,60,N07_00,0,70,2.0
N06_00,0,60,N07_01,10,70,2.8
N06_01,10,60,N06_02,20,60,2.0
N06_01,10,60,N07_01,10,70,2.0
N06_01,10,60,N07_02,20,70,2.8
N06_02,20,60,N06_03,30,60,2.0
N06_02,20,60,N07_02,20,70,2.0
N06_02,20,60,N07_03,30,70,2.8
N06_03,30,60,N06_04,40,60,2.0
N06_03,30,60,N07_03,30,70,2.0
N06_03,30,60,N07_04,40,70,2.8
N06_04,40,60,N06_05,50,60,2.0
N06_04,40,60,N07_04,40,70,2.0
N06_04,40,60,N07_05,50,70,2.8
N06_05,50,60,N06_06,60,60,2.0
N06_05,50,60,N07_05,50,70,2.0
N06_05,50,60,N07_06,60,70,2.8
N06_06,60,60,N06_07,70,60,2.0
N06_06,60,60,N07_06,60,70,2.0
N06_06,60,60,N07_07,70,70,2.8
N06_07,70,60,N06_08,80,60,2.0
N06_07,70,60,N07_07,70,70,2.0
N06_07,70,60,N07_08,80,70,2.8
N06_08,80,60,N06_09,90,60,2.0
N06_08,80,60,N07_08,80,70,2.0
N06_08,80,60,N07_09,90,70,2.8
N06_09,90,60,N06_10,100,60,2.0
N06_09,90,60,N07_09,90,70,2.0
N06_09,90,60,N07_10,100,70,2.8
N06_10,100,60,N06_11,110,60,2.0
N06_10,100,60,N07_10,100,70,2.0
N06_10,100,60,N07_11,110,70,2.8
N06_11,110,60,N06_12,120,60,2.0
N06_11,110,60,N07_11,110,70,2.0
N06_11,110,60,N07_12,120,70,2.8
N06_12,120,60,N06_13,130,60,2.0
N06_12,120,60,N07_12,120,70,2.0
N06_12,120,60,N07_13,130,70,2.8
N06_13,130,60,N06_14,140,60,2.0
N06_13,130,60,N07_13,130,70,2.0
N06_13,130,60,N07_14,140,70,2.8
N06_14,140,60,N06_15,150,60,2.0
N06_14,140,60,N07_14,140,70,2.0
N06_14,140,60,N07_15,150,70,2.8
N06_15,150,60,N06_16,160,60,2.0
N06_15,150,60,N07_15,150,70,2.0
N06_15,150,60,N07_16,160,70,2.8
N06_16,160,60,N06_17,170,60,2.0
N06_16,160,60,N07_16,160,70,2.0
N06_16,160,60,N07_17,170,70,2.8
N06_17,170,60,N06_18,180,60,2.0
N06_17,170,60,N07_17,170,70,2.0
N06_17,170,60,N07_18,180,70,2.8
N06_18,180,60,N06_19,190,60,2.0
N06_18,180,60,N07_18,180,70,2.0
N06_18,180,60,N07_19,190,70,2.8
N06_19,190,60,N07_19,190,70,2.0
N07_00,0,70,N07_01,10,70,2.0
N07_00,0,70,N08_00,0,80,2.0
N07_00,0,70,N08_01,10,80,2.8
N07_01,10,70,N07_02,20,70,2.0
N07_01,10,70,N08_01,10,80,2.0
N07_01,10,70,N08_02,20,80,2.8
N07_02,20,70,N07_03,30,70,2.0
N07_02,20,70,N08_02,20,80,2.0
N07_02,20,70,N08_03,30,80,2.8
N07_03,30,70,N07_04,40,70,2.0
N07_03,30,70,N08_03,30,80,2.0
N07_03,30,70,N08_04,40,80,2.8
N07_04,40,70,N07_05,50,70,2.0
N07_04,40,70,N08_04,40,80,2.0
N07_04,40,70,N08_05,50,80,2.8
N07_05,50,70,N07_06,60,70,2.0
N07_05,50,70,N08_05,50,80,2.0
N07_05,50,70,N08_06,60,80,2.8
N07_06,60,70,N07_07,70,70,2.0
N07_06,60,70,N08_06,60,80,2.0
N07_06,60,70,N08_07,70,80,2.8
N07_07,70,70,N07_08,80,70,2.0
N07_07,70,70,N08_07,70,80,2.0
N07_07,70,70,N08_08,80,80,2.8
N07_08,80,70,N07_09,90,70,2.0
N07_08,80,70,N08_08,80,80,2.0
N07_08,80,70,N08_09,90,80,2.8
N07_09,90,70,N07_10,100,70,2.0
N07_09,90,70,N08_09,90,80,2.0
N07_09,90,70,N08_10,100,80,2.8
N07_10,100,70,N07_11,110,70,2.0
N07_10,100,70,N08_10,100,80,2.0
N07_10,100,70,N08_11,110,80,2.8
N07_11,110,70,N07_12,120,70,2.0
N07_11,110,70,N08_11,110,80,2.0
N07_11,110,70,N08_12,120,80,2.8
N07_12,120,70,N07_13,130,70,2.0
N07_12,120,70,N08_12,120,80,2.0
N07_12,120,70,N08_13,130,80,2.8
N07_13,130,70,N07_14,140,70,2.0
N07_13,130,70,N08_13,130,80,2.0
N07_13,130,70,N08_14,140,80,2.8
N07_14,140,70,N07_15,150,70,2.0
N07_14,140,70,N08_14,140,80,2.0
N07_14,140,70,N08_15,150,80,2.8
N07_15,150,70,N07_16,160,70,2.0
N07_15,150,70,N08_15,150,80,2.0
N07_15,150,70,N08_16,160,80,2.8
N07_16,160,70,N07_17,170,70,2.0
N07_16,160,70,N08_16,160,80,2.0
N07_16,160,70,N08_17,170,80,2.8
N07_17,170,70,N07_18,180,70,2.0
N07_17,170,70,N08_17,170,80,2.0
N07_17,170,70,N08_18,180,80,2.8
N07_18,180,70,N07_19,190,70,2.0
N07_18,180,70,N08_18,180,80,2.0
N07_18,180,70,N08_19,190,80,2.8
N07_19,190,70,N08_19,190,80,2.0
N08_00,0,80,N08_01,10,80,2.0
N08_00,0,80,N09_00,0,90,2.0
N08_00,0,80,N09_01,10,90,2.8
N08_01,10,80,N08_02,20,80,2.0
N08_01,10,80,N09_01,10,90,2.0
N08_01,10,80,N09_02,20,90,2.8
N08_02,20,80,N08_03,30,80,2.0
N08_02,20,80,N09_02,20,90,2.0
N08_02,20,80,N09_03,30,90,2.8
N08_03,30,80,N08_04,40,80,2.0
N08_03,30,80,N09_03,30,90,2.0
N08_03,30,80,N09_04,40,90,2.8
N08_04,40,80,N08_05,50,80,2.0
N08_04,40,80,N09_04,40,90,2.0
N08_04,40,80,N09_05,50,90,2.8
N08_05,50,80,N08_06,60,80,2.0
N08_05,50,80,N09_05,50,90,2.0
N08_05,50,80,N09_06,60,90,2.8
N08_06,60,80,N08_07,70,80,2.0
N08_06,60,80,N09_06,60,90,2.0
N08_06,60,80,N09_07,70,90,2.8
N08_07,70,80,N08_08,80,80,2.0
N08_07,70,80,N09_07,70,90,2.0
N08_07,70,80,N09_08,80,90,2.8
N08_08,80,80,N08_09,90,80,2.0
N08_08,80,80,N09_08,80,90,2.0
N08_08,80,80,N09_09,90,90,2.8
N08_09,90,80,N08_10,100,80,2.0
N08_09,90,80,N09_09,90,90,2.0
N08_09,90,80,N09_10,100,90,2.8
N08_10,100,80,N08_11,110,80,2.0
N08_10,100,80,N09_10,100,90,2.0
N08_10,100,80,N09_11,110,90,2.8
N08_11,110,80,N08_12,120,80,2.0
N08_11,110,80,N09_11,110,90,2.0
N08_11,110,80,N09_12,120,90,2.8
N08_12,120,80,N08_13,130,80,2.0
N08_12,120,80,N09_12,120,90,2.0
N08_12,120,80,N09_13,130,90,2.8
N08_13,130,80,N08_14,140,80,2.0
N08_13,130,80,N09_13,130,90,2.0
N08_13,130,80,N09_14,140,90,2.8
N08_14,140,80,N08_15,150,80,2.0
N08_14,140,80,N09_14,140,90,2.0
N08_14,140,80,N09_15,150,90,2.8
N08_15,150,80,N08_16,160,80,2.0
N08_15,150,80,N09_15,150,90,2.0
N08_15,150,80,N09_16,160,90,2.8
N08_16,160,80,N08_17,170,80,2.0
N08_16,160,80,N09_16,160,90,2.0
N08_16,160,80,N09_17,170,90,2.8
N08_17,170,80,N08_18,180,80,2.0
N08_17,170,80,N09_17,170,90,2.0
N08_17,170,80,N09_18,180,90,2.8
N08_18,180,80,N08_19,190,80,2.0
N08_18,180,80,N09_18,180,90,2.0
N08_18,180,80,N09_19,190,90,2.8
N08_19,190,80,N09_19,190,90,2.0
N09_00,0,90,N09_01,10,90,2.0
N09_00,0,90,N10_00,0,100,2.0
N09_00,0,90,N10_01,10,100,2.8
N09_01,10,90,N09_02,20,90,2.0
N09_01,10,90,N10_01,10,100,2.0
N09_01,10,90,N10_02,20,100,2.8
N09_02,20,90,N09_03,30,90,2.0
N09_02,20,90,N10_02,20,100,2.0
N09_02,20,90,N10_03,30,100,2.8
N09_03,30,90,N09_04,40,90,2.0
N09_03,30,90,N10_03,30,100,2.0
N09_03,30,90,N10_04,40,100,2.8
N09_04,40,90,N09_05,50,90,2.0
N09_04,40,90,N10_04,40,100,2.0
N09_04,40,90,N10_05,50,100,2.8
N09_05,50,90,N09_06,60,90,2.0
N09_05,50,90,N10_05,50,100,2.0
N09_05,50,90,N10_06,60,100,2.8
N09_06,60,90,N09_07,70,90,2.0
N09_06,60,90,N10_06,60,100,2.0
N09_06,60,90,N10_07,70,100,2.8
N09_07,70,90,N09_08,80,90,2.0
N09_07,70,90,N10_07,70,100,2.0
N09_07,70,90,N10_08,80,100,2.8
N09_08,80,90,N09_09,90,90,2.0
N09_08,80,90,N10_08,80,100,2.0
N09_08,80,90,N10_09,90,100,2.8
N09_09,90,90,N09_10,100,90,2.0
N09_09,90,90,N10_09,90,100,2.0
N09_09,90,90,N10_10,100,100,2.8
N09_10,100,90,N09_11,110,90,2.0
N09_10,100,90,N10_10,100,100,2.0
N09_10,100,90,N10_11,110,100,2.8
N09_11,110,90,N09_12,120,90,2.0
N09_11,110,90,N10_11,110,100,2.0
N09_11,110,90,N10_12,120,100,2.8
N09_12,120,90,N09_13,130,90,2.0
N09_12,120,90,N10_12,120,100,2.0
N09_12,120,90,N10_13,130,100,2.8
N09_13,130,90,N09_14,140,90,2.0
N09_13,130,90,N10_13,130,100,2.0
N09_13,130,90,N10_14,140,100,2.8
N09_14,140,90,N09_15,150,90,2.0
N09_14,140,90,N10_14,140,100,2.0
N09_14,140,90,N10_15,150,100,2.8
N09_15,150,90,N09_16,160,90,2.0
N09_15,150,90,N10_15,150,100,2.0
N09_15,150,90,N10_16,160,100,2.8
N09_16,160,90,N09_17,170,90,2.0
N09_16,160,90,N10_16,160,100,2.0
N09_16,160,90,N10_17,170,100,2.8
N09_17,170,90,N09_18,180,90,2.0
N09_17,170,90,N10_17,170,100,2.0
N09_17,170,90,N10_18,180,100,2.8
N09_18,180,90,N09_19,190,90,2.0
N09_18,180,90,N10_18,180,100,2.0
N09_18,180,90,N10_19,190,100,2.8
N09_19,190,90,N10_19,190,100,2.0
N10_00,0,100,N10_01,10,100,2.0
N10_00,0,100,N11_00,0,110,2.0
N10_00,0,100,N11_01,10,110,2.8
N10_01,10,100,N10_02,20,100,2.0
N10_01,10,100,N11_01,10,110,2.0
N10_01,10,100,N11_02,20,110,2.8
N10_02,20,100,N10_03,30,100,2.0
N10_02,20,100,N11_02,20,110,2.0
N10_02,20,100,N11_03,30,110,2.8
N10_03,30,100,N10_04,40,100,2.0
N10_03,30,100,N11_03,30,110,2.0
N10_03,30,100,N11_04,40,110,2.8
N10_04,40,100,N10_05,50,100,2.0
N10_04,40,100,N11_04,40,110,2.0
N10_04,40,100,N11_05,50,110,2.8
N10_05,50,100,N10_06,60,100,2.0
N10_05,50,100,N11_05,50,110,2.0
N10_05,50,100,N11_06,60,110,2.8
N10_06,60,100,N10_07,70,100,2.0
N10_06,60,100,N11_06,60,110,2.0
N10_06,60,100,N11_07,70,110,2.8
N10_07,70,100,N10_08,80,100,2.0
N10_07,70,100,N11_07,70,110,2.0
N10_07,70,100,N11_08,80,110,2.8
N10_08,80,100,N10_09,90,100,2.0
N10_08,80,100,N11_08,80,110,2.0
N10_08,80,100,N11_09,90,110,2.8
N10_09,90,100,N10_10,100,100,2.0
N10_09,90,100,N11_09,90,110,2.0
N10_09,90,100,N11_10,100,110,2.8
N10_10,100,100,N10_11,110,100,2.0
N10_10,100,100,N11_10,100,110,2.0
N10_10,100,100,N11_11,110,110,2.8
N10_11,110,100,N10_12,120,100,2.0
N10_11,110,100,N11_11,110,110,2.0
N10_11,110,100,N11_12,120,110,2.8
N10_12,120,100,N10_13,130,100,2.0
N10_12,120,100,N11_12,120,110,2.0
N10_12,120,100,N11_13,130,110,2.8
N10_13,130,100,N10_14,140,100,2.0
N10_13,130,100,N11_13,130,110,2.0
N10_13,130,100,N11_14,140,110,2.8
N10_14,140,100,N10_15,150,100,2.0
N10_14,140,100,N11_14,140,110,2.0
N10_14,140,100,N11_15,150,110,2.8
N10_15,150,100,N10_16,160,100,2.0
N10_15,150,100,N11_15,150,110,2.0
N10_15,150,100,N11_16,160,110,2.8
N10_16,160,100,N10_17,170,100,2.0
N10_16,160,100,N11_16,160,110,2.0
N10_16,160,100,N11_17,170,110,2.8
N10_17,170,100,N10_18,180,100,2.0
N10_17,170,100,N11_17,170,110,2.0
